;file_name;node;kingdom_best_chatgpt;kingdom_best_chatgpt_score;phylum_best_chatgpt;phylum_best_chatgpt_score;class_best_chatgpt;class_best_chatgpt_score;order_best_chatgpt;order_best_chatgpt_score;family_best_chatgpt;family_best_chatgpt_score;genus_best_chatgpt;genus_best_chatgpt_score;species_best_chatgpt;species_best_chatgpt_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Lophiiformes;1.0;Lophiidae;0.7424999999999999;Lophius;0.7424999999999999;Lophius piscatorius;0.5
1;Aegean_Sea_760;Benthic invertebrates;Animalia;1.0;Annelida;0.25;Bivalvia;0.2475;Phyllodocida;0.2375;Mytilidae;0.2475;Mytilus;0.2475;Mytilus galloprovincialis;0.2475
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;0.98;Amphipoda;0.7275;Ampeliscidae;0.23;Ampelisca;0.23;Gammarus aequicauda;0.2125
3;Aegean_Sea_760;Detritus;;;;;;;;;;;;;;
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.7124999999999999;Delphinidae;1.0;Tursiops;0.5;Tursiops truncatus;0.25
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;0.9875;Chordata;0.9875;Actinopterygii;0.9875;Gadiformes;0.9875;Merlucciidae;0.9774999999999999;Merluccius;0.9875;Merluccius merluccius;0.7424999999999999
7;Aegean_Sea_760;European pilchard;Animalia;0.9950000000000001;Chordata;0.9950000000000001;Actinopterygii;0.99;Clupeiformes;0.985;Clupeidae;0.99;Sardina;0.9850000000000001;Sardina pilchardus;0.5
8;Aegean_Sea_760;Flatfishes;Animalia;0.99;Chordata;0.99;Actinopterygii;0.99;Pleuronectiformes;0.99;Soleidae;0.735;Solea;0.735;Solea solea;0.495
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;0.99;Scorpaeniformes;0.72;Triglidae;0.98;Chelidonichthys;0.2425;Chelidonichthys lucerna;0.24
10;Aegean_Sea_760;Horse mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.7124999999999999;Carangidae;1.0;Trachurus;1.0;mediterraneus;0.225
11;Aegean_Sea_760;Jellyfish;Animalia;0.9850000000000001;Cnidaria;0.9850000000000001;Scyphozoa;0.975;Semaeostomeae;0.475;Ulmaridae;0.475;Aurelia;0.73;Aurelia aurita;0.475
12;Aegean_Sea_760;Large pelagics;Animalia;0.9775;Chordata;0.9775;Actinopterygii;0.9775;Scombriformes;0.72;Scombridae;0.74;Thunnus;0.74;Thunnus thynnus;0.4975
13;Aegean_Sea_760;Lobsters;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.7;Palinurus;0.25;Palinurus elephas;0.25
14;Aegean_Sea_760;Mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.74;Scombridae;1.0;Scomber;1.0;Scomber scombrus;0.5
15;Aegean_Sea_760;Macrozooplankton;Animalia;0.9975;Arthropoda;0.74;Malacostraca;0.735;Euphausiacea;0.7324999999999999;Euphausiidae;0.4875;Meganyctiphanes;0.2425;Meganyctiphanes norvegica;0.2425
16;Aegean_Sea_760;Medium pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.45;Scombridae;0.49;Scomber;0.49;Scomber scombrus;0.2475
17;Aegean_Sea_760;Medium-large demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.495;Merlucciidae;0.49;Merluccius;0.4875;Merluccius merluccius;0.4875
18;Aegean_Sea_760;Medium-large demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9925;Gadiformes;0.5;Merlucciidae;0.5;Merluccius;0.5;Merluccius merluccius;0.25
19;Aegean_Sea_760;Micro/Mesozooplankton;Animalia;1.0;Arthropoda;0.825;Copepoda;0.4875;Calanoida;0.5;Acartiidae;0.25;Acartia;0.25;Acartia clausi;0.25
20;Aegean_Sea_760;Monk seal;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;0.9775;Phocidae;0.9975;Monachus;0.9975;Monachus monachus;0.4975
21;Aegean_Sea_760;Norway lobster;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.9;Nephrops;1.0;Nephrops norvegicus;0.5
22;Aegean_Sea_760;Octopus and cuttlefish;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Octopoda;0.495;Octopodidae;0.485;Octopus;0.485;Octopus vulgaris;0.48
23;Aegean_Sea_760;Other gadiforms;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;0.25;Merluccius;0.25;Merluccius merluccius;0.25
24;Aegean_Sea_760;Other small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;0.75;Engraulis;0.75;Engraulis encrasicolus;0.5
25;Aegean_Sea_760;Phytoplankton;Chromista;0.45;Bacillariophyta;0.245;Bacillariophyceae;0.47;Thalassiosirales;0.2425;Thalassiosiraceae;0.2425;Thalassiosira;0.2475;Thalassiosira rotula;0.25
26;Aegean_Sea_760;Picarels and bogue;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.4;Sparidae;0.475;Boops;0.475;boops;0.25
27;Aegean_Sea_760;Piscivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.25;Gadidae;0.25;Micromesistius;0.2375;Micromesistius poutassou;0.2375
28;Aegean_Sea_760;Planktivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.7275;Gonostomatidae;0.49;Cyclothone;0.5;Maurolicus muelleri;0.25
29;Aegean_Sea_760;Polychaetes;Animalia;1.0;Annelida;1.0;Polychaeta;1.0;Phyllodocida;0.225;Nereididae;0.25;Nereis;0.225;Nereis diversicolor;0.15
30;Aegean_Sea_760;Rays and skates;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.7124999999999999;Rajiformes;0.7124999999999999;Rajidae;0.75;Raja;0.75;Raja clavata;0.5
31;Aegean_Sea_760;Red mullets;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Mullidae;1.0;Mullus;0.5;Mullus barbatus;0.5
32;Aegean_Sea_760;Rockfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.9;Scorpaenidae;0.9650000000000001;Scorpaena;0.495;Scorpaena scrofa;0.2475
33;Aegean_Sea_760;Sea turtles;Animalia;1.0;Chordata;1.0;Reptilia;1.0;Testudines;1.0;Cheloniidae;0.75;Caretta;0.75;Caretta caretta;0.5
