;file_name;node;kingdom_best_claude;kingdom_best_claude_score;phylum_best_claude;phylum_best_claude_score;class_best_claude;class_best_claude_score;order_best_claude;order_best_claude_score;family_best_claude;family_best_claude_score;genus_best_claude;genus_best_claude_score;species_best_claude;species_best_claude_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Lophiiformes;1.0;Lophiidae;0.75;Lophius;0.75;Lophius piscatorius;0.45
1;Aegean_Sea_760;Benthic invertebrates;Animalia;1.0;Annelida;0.2375;Polychaeta;0.23;Phyllodocida;0.22;Nephtyidae;0.225;Mytilus;0.23;Nephtys cirrosa;0.195
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Amphipoda;0.725;Ampeliscidae;0.225;Ampelisca;0.2;Gammarus aequicauda;0.15
3;Aegean_Sea_760;Detritus;;;;;;;;;;;;;;
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.75;Delphinidae;1.0;Tursiops;0.375;Tursiops truncatus;0.25
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;1.0;Merluccius;1.0;Merluccius merluccius;0.75
7;Aegean_Sea_760;European pilchard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Sardina;0.95;Sardina pilchardus;0.5
8;Aegean_Sea_760;Flatfishes;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Soleidae;0.75;Solea;0.7;Solea solea;0.5
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.75;Triglidae;1.0;Chelidonichthys;0.225;Chelidonichthys lucerna;0.2125
10;Aegean_Sea_760;Horse mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.75;Carangidae;1.0;Trachurus;1.0;Trachurus trachurus;0.25
11;Aegean_Sea_760;Jellyfish;Animalia;1.0;Cnidaria;1.0;Scyphozoa;1.0;Semaeostomeae;0.45;Ulmaridae;0.475;Aurelia;0.7375;Aurelia aurita;0.425
12;Aegean_Sea_760;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.75;Scombridae;0.75;Thunnus;0.7125;Thunnus thynnus;0.475
13;Aegean_Sea_760;Lobsters;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.675;Palinurus;0.2125;Palinurus elephas;0.2125
14;Aegean_Sea_760;Mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.7124999999999999;Scombridae;1.0;Scomber;1.0;Scomber scombrus;0.5
15;Aegean_Sea_760;Macrozooplankton;Animalia;1.0;Arthropoda;0.75;Malacostraca;0.75;Euphausiacea;0.75;Euphausiidae;0.5;Euphausia;0.2;Euphausia superba;0.225
16;Aegean_Sea_760;Medium pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.5;Scombridae;0.5;Scomber;0.5;Trachurus trachurus;0.25
17;Aegean_Sea_760;Medium-large demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.5;Merlucciidae;0.5;Merluccius;0.5;Merluccius merluccius;0.5
18;Aegean_Sea_760;Medium-large demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.5;Merlucciidae;0.5;Merluccius;0.45;Pagellus erythrinus;0.25
19;Aegean_Sea_760;Micro/Mesozooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.45;Calanoida;0.45;Acartiidae;0.2;Acartia;0.2;Calanus helgolandicus;0.2
20;Aegean_Sea_760;Monk seal;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Phocidae;1.0;Monachus;1.0;Monachus monachus;0.475
21;Aegean_Sea_760;Norway lobster;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;1.0;Nephrops;1.0;Nephrops norvegicus;0.5
22;Aegean_Sea_760;Octopus and cuttlefish;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Octopoda;0.5;Octopodidae;0.5;Octopus;0.5;Octopus vulgaris;0.5
23;Aegean_Sea_760;Other gadiforms;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Gadidae;0.225;Merluccius;0.15;Merluccius merluccius;0.15
24;Aegean_Sea_760;Other small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;0.75;Engraulis;0.75;Engraulis encrasicolus;0.5
25;Aegean_Sea_760;Phytoplankton;Chromista;0.35;Bacillariophyta;0.225;Bacillariophyceae;0.45;Thalassiosirales;0.2;Thalassiosiraceae;0.2;Thalassiosira;0.2125;Thalassiosira rotula;0.1875
26;Aegean_Sea_760;Picarels and bogue;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.4;Sparidae;0.75;Spicara;0.5;smaris;0.25
27;Aegean_Sea_760;Piscivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.225;Stomiidae;0.2375;Stomias;0.225;Micromesistius poutassou;0.2
28;Aegean_Sea_760;Planktivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.75;Gonostomatidae;0.5;Cyclothone;0.5;Maurolicus muelleri;0.2375
