;file_name;node;kingdom_best_gemini;kingdom_best_gemini_score;phylum_best_gemini;phylum_best_gemini_score;class_best_gemini;class_best_gemini_score;order_best_gemini;order_best_gemini_score;family_best_gemini;family_best_gemini_score;genus_best_gemini;genus_best_gemini_score;species_best_gemini;species_best_gemini_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Lophiiformes;1.0;Lophiidae;0.75;Lophius;0.75;Lophius piscatorius;0.5
1;Aegean_Sea_760;Benthic invertebrates;Animalia;1.0;Annelida;0.25;Polychaeta;0.25;Phyllodocida;0.25;Nephtyidae;0.25;Nephtys;0.25;Nephtys cirrosa;0.25
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Amphipoda;0.75;Gammaridae;0.25;Gammarus;0.25;Gammarus aequicauda;0.25
3;Aegean_Sea_760;Detritus;;;;;;;;;;;;;;
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.75;Delphinidae;1.0;Tursiops;0.5;Tursiops truncatus;0.25
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;1.0;Merluccius;1.0;Merluccius merluccius;0.75
7;Aegean_Sea_760;European pilchard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Sardina;1.0;pilchardus;0.5
8;Aegean_Sea_760;Flatfishes;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Soleidae;0.75;Solea;0.75;Solea solea;0.5
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.75;Triglidae;1.0;Chelidonichthys;0.25;Chelidonichthys lucerna;0.25
10;Aegean_Sea_760;Horse mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.75;Carangidae;1.0;Trachurus;1.0;Trachurus trachurus;0.5
11;Aegean_Sea_760;Jellyfish;Animalia;1.0;Cnidaria;1.0;Scyphozoa;1.0;Semaeostomeae;0.5;Ulmaridae;0.5;Aurelia;0.75;Aurelia aurita;0.5
12;Aegean_Sea_760;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.75;Scombridae;0.75;Thunnus;0.75;Thunnus thynnus;0.5
13;Aegean_Sea_760;Lobsters;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.75;Palinurus;0.25;Palinurus elephas;0.25
14;Aegean_Sea_760;Mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.75;Scombridae;1.0;Scomber;1.0;Scomber scombrus;0.5
15;Aegean_Sea_760;Macrozooplankton;Animalia;0.875;Arthropoda;0.75;Malacostraca;0.75;Euphausiacea;0.75;Euphausiidae;0.5;Meganyctiphanes;0.25;Meganyctiphanes norvegica;0.25
16;Aegean_Sea_760;Medium pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.5;Scombridae;0.5;Scomber;0.5;Trachurus trachurus;0.25
17;Aegean_Sea_760;Medium-large demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.5;Merlucciidae;0.5;Merluccius;0.5;Merluccius merluccius;0.5
18;Aegean_Sea_760;Medium-large demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.5;Merlucciidae;0.5;Merluccius;0.5;Pagellus erythrinus;0.25
19;Aegean_Sea_760;Micro/Mesozooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.5;Calanoida;0.5;Acartiidae;0.25;Acartia;0.25;Acartia clausi;0.25
20;Aegean_Sea_760;Monk seal;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Phocidae;1.0;Monachus;1.0;Monachus monachus;0.5
21;Aegean_Sea_760;Norway lobster;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;1.0;Nephrops;1.0;Nephrops norvegicus;0.5
22;Aegean_Sea_760;Octopus and cuttlefish;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Octopoda;0.5;Octopodidae;0.5;Octopus;0.5;Octopus vulgaris;0.5
23;Aegean_Sea_760;Other gadiforms;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;0.25;Merluccius;0.25;Merluccius merluccius;0.25
24;Aegean_Sea_760;Other small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;0.75;Engraulis;0.75;Engraulis encrasicolus;0.4
25;Aegean_Sea_760;Phytoplankton;Chromista;0.5;Bacillariophyta;0.25;Bacillariophyceae;0.375;Thalassiosirales;0.25;Thalassiosiraceae;0.25;Thalassiosira;0.25;Thalassiosira rotula;0.25
26;Aegean_Sea_760;Picarels and bogue;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.5;Sparidae;0.75;Spicara;0.5;boops;0.25
