;file_name;node;kingdom_best_qwen;kingdom_best_qwen_score;phylum_best_qwen;phylum_best_qwen_score;class_best_qwen;class_best_qwen_score;order_best_qwen;order_best_qwen_score;family_best_qwen;family_best_qwen_score;genus_best_qwen;genus_best_qwen_score;species_best_qwen;species_best_qwen_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Lophiiformes;1.0;Lophiidae;0.75;Lophius;0.75;Lophius piscatorius;0.5
1;Aegean_Sea_760;Benthic invertebrates;Animalia;0.75;Annelida;0.225;Polychaeta;0.225;Phyllodocida;0.225;Nephtyidae;0.225;Nephtys;0.225;Nephtys cirrosa;0.2
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Amphipoda;0.75;Gammaridae;0.25;Gammarus;0.25;Gammarus aequicauda;0.225
3;Aegean_Sea_760;Detritus;;;;;;;;;;;;;;
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.75;Delphinidae;1.0;Tursiops;0.5;Tursiops truncatus;0.25
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;1.0;Merluccius;1.0;Merluccius merluccius;0.75
7;Aegean_Sea_760;European pilchard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Sardina;1.0;pilchardus;0.4
8;Aegean_Sea_760;Flatfishes;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Soleidae;0.75;Solea;0.75;Solea solea;0.5
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.75;Triglidae;0.75;Chelidonichthys;0.25;Chelidonichthys lucerna;0.25
10;Aegean_Sea_760;Horse mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.675;Carangidae;1.0;Trachurus;1.0;Trachurus trachurus;0.45
11;Aegean_Sea_760;Jellyfish;Animalia;1.0;Cnidaria;1.0;Scyphozoa;1.0;Semaeostomeae;0.4;Ulmaridae;0.5;Aurelia;0.75;Aurelia aurita;0.5
12;Aegean_Sea_760;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.75;Scombridae;0.75;Thunnus;0.75;Thunnus thynnus;0.5
13;Aegean_Sea_760;Lobsters;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.5;Palinurus;0.25;Palinurus elephas;0.25
14;Aegean_Sea_760;Mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.75;Scombridae;1.0;Scomber;1.0;Scomber scombrus;0.475
15;Aegean_Sea_760;Macrozooplankton;Animalia;1.0;Arthropoda;0.75;Malacostraca;0.75;Euphausiacea;0.75;Euphausiidae;0.5;Meganyctiphanes;0.25;Meganyctiphanes norvegica;0.2
16;Aegean_Sea_760;Medium pelagics;Animalia;0.75;Chordata;0.75;Actinopterygii;0.75;Scombriformes;0.5;Scombridae;0.5;Scomber;0.5;Trachurus trachurus;0.25
17;Aegean_Sea_760;Medium-large demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.4;Merlucciidae;0.5;Merluccius;0.5;Merluccius merluccius;0.5
18;Aegean_Sea_760;Medium-large demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.5;Merlucciidae;0.5;Merluccius;0.5;Pagellus erythrinus;0.25
19;Aegean_Sea_760;Micro/Mesozooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.5;Calanoida;0.5;Acartiidae;0.25;Acartia;0.25;Acartia clausi;0.225
20;Aegean_Sea_760;Monk seal;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Phocidae;1.0;Monachus;1.0;Monachus monachus;0.5
21;Aegean_Sea_760;Norway lobster;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;1.0;Nephrops;1.0;Nephrops norvegicus;0.5
22;Aegean_Sea_760;Octopus and cuttlefish;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Octopoda;0.5;Octopodidae;0.5;Octopus;0.5;Octopus vulgaris;0.45
23;Aegean_Sea_760;Other gadiforms;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Merlucciidae;0.225;Merluccius;0.25;Merluccius merluccius;0.25
24;Aegean_Sea_760;Other small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;0.75;Engraulis;0.75;Engraulis encrasicolus;0.45
25;Aegean_Sea_760;Phytoplankton;Chromista;0.4375;Bacillariophyta;0.2375;Bacillariophyceae;0.4625;Thalassiosirales;0.225;Thalassiosiraceae;0.225;Thalassiosira;0.225;Thalassiosira rotula;0.2125
26;Aegean_Sea_760;Picarels and bogue;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.4;Sparidae;0.75;Spicara;0.5;smaris;0.25
27;Aegean_Sea_760;Piscivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.225;Stomiidae;0.225;Stomias;0.225;Micromesistius poutassou;0.075
28;Aegean_Sea_760;Planktivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.75;Gonostomatidae;0.5;Cyclothone;0.5;Maurolicus muelleri;0.25
29;Aegean_Sea_760;Polychaetes;Animalia;1.0;Annelida;1.0;Polychaeta;1.0;Multiple;0.075;Nereididae;0.2;Nereis;0.2;Nereis diversicolor;0.15
30;Aegean_Sea_760;Rays and skates;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.75;Rajiformes;0.75;Rajidae;0.75;Raja;0.75;Raja clavata;0.5
31;Aegean_Sea_760;Red mullets;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Mullidae;1.0;Mullus;0.5;Mullus barbatus;0.5
