;file_name;node;best_kingdom;kingdom_consensus_score;best_phylum;phylum_consensus_score;best_class;class_consensus_score;best_order;order_consensus_score;best_family;family_consensus_score;best_genus;genus_consensus_score;best_species;species_consensus_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9975;Lophiiformes;0.9824999999999999;Lophiidae;0.745;Lophius;0.745;Lophius piscatorius;0.48
1;Aegean_Sea_760;Benthic invertebrates;Animalia;1.0;Annelida;0.25;Polychaeta;0.2375;Multiple;0.2;Mytilidae;0.2;Mytilus;0.2;Mytilus galloprovincialis;0.2
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;0.9075;Amphipoda;0.7;Gammaridae;0.2125;Gammarus;0.2;Gammarus aequicauda;0.15
3;Aegean_Sea_760;Detritus;;0.0;;0.0;;0.0;;0.0;;0.0;;0.0;;0.0
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.7375;Delphinidae;0.9875;Tursiops;0.4;truncatus;0.2
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9975;Gadiformes;0.9824999999999999;Merlucciidae;0.975;Merluccius;0.985;Merluccius merluccius;0.7475
7;Aegean_Sea_760;European pilchard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Sardina;1.0;pilchardus;0.5
8;Aegean_Sea_760;Flatfishes;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9850000000000001;Pleuronectiformes;0.97;Soleidae;0.6825;Solea;0.6699999999999999;Solea solea;0.42500000000000004
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.7124999999999999;Triglidae;0.9875;Chelidonichthys;0.225;Chelidonichthys lucerna;0.225
10;Aegean_Sea_760;Horse mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.7375;Carangidae;1.0;Trachurus;0.9875;Trachurus trachurus;0.5
11;Aegean_Sea_760;Jellyfish;Animalia;1.0;Cnidaria;1.0;Scyphozoa;0.9199999999999999;Semaeostomeae;0.4375;Ulmaridae;0.4125;Aurelia;0.6625;Aurelia aurita;0.4
12;Aegean_Sea_760;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;0.935;Scombriformes;0.7;Scombridae;0.7075;Thunnus;0.71;Thunnus thynnus;0.4625
13;Aegean_Sea_760;Lobsters;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Nephropidae;0.7125;Palinurus;0.25;Palinurus elephas;0.25
14;Aegean_Sea_760;Mackerels;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;0.7375;Scombridae;1.0;Scomber;0.975;Scomber scombrus;0.5
15;Aegean_Sea_760;Macrozooplankton;Animalia;1.0;Arthropoda;0.725;Malacostraca;0.7124999999999999;Euphausiacea;0.675;Euphausiidae;0.4125;Meganyctiphanes;0.2;Multiple;0.1875
