;QueryName;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;OriginalName
0;Lophius piscatorius;Lophius piscatorius;126555.0;Species;accepted;Animalia;Chordata;Teleostei;Lophiiformes;Lophiidae;Lophius;Lophius piscatorius;Aegean_Sea_760;Anglerfish
1;Nephtys cirrosa;Nephtys cirrosa;130357.0;Species;accepted;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Nephtys;Nephtys cirrosa;Aegean_Sea_760;Benthic invertebrates
2;Gammarus aequicauda;Gammarus aequicauda;102270.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;Gammarus aequicauda;Aegean_Sea_760;Benthic small crustaceans
3;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Detritus
4;Delphinidae;Delphinidae;136980.0;Family;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;None;Nan;Aegean_Sea_760;Dolphins
5;Engraulis encrasicolus;Engraulis encrasicolus;126426.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Aegean_Sea_760;European anchovy
6;Merluccius merluccius;Merluccius merluccius;126484.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Aegean_Sea_760;European hake
7;Sardina pilchardus;Sardina pilchardus;126421.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;Aegean_Sea_760;European pilchard
8;Solea solea;Solea solea;127160.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Solea;Solea solea;Aegean_Sea_760;Flatfishes
9;Triglidae;Triglidae;125598.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Triglidae;None;Nan;Aegean_Sea_760;Gurnards
10;Trachurus mediterraneus;Trachurus mediterraneus;126820.0;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus mediterraneus;Aegean_Sea_760;Horse mackerels
11;Aurelia aurita;Aurelia aurita;135306.0;Species;accepted;Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Aurelia;Aurelia aurita;Aegean_Sea_760;Jellyfish
12;Thunnus thynnus;Thunnus thynnus;127029.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Thunnus;Thunnus thynnus;Aegean_Sea_760;Large pelagics
13;Palinurus elephas;Palinurus elephas;107703.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Palinuridae;Palinurus;Palinurus elephas;Aegean_Sea_760;Lobsters
14;Scomber scombrus;Scomber scombrus;127023.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Scomber scombrus;Aegean_Sea_760;Mackerels
15;Meganyctiphanes norvegica;Meganyctiphanes norvegica;110690.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Meganyctiphanes;Meganyctiphanes norvegica;Aegean_Sea_760;Macrozooplankton
16;Trachurus trachurus;Trachurus trachurus;126822.0;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus trachurus;Aegean_Sea_760;Medium pelagics
17;Merluccius merluccius;Merluccius merluccius;126484.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Aegean_Sea_760;Medium-large demersals 1
18;Pagellus erythrinus;Pagellus erythrinus;127060.0;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagellus;Pagellus erythrinus;Aegean_Sea_760;Medium-large demersals 2
19;Acartia clausi;Acartia clausi;104251.0;Species;alternative representation;Animalia;Arthropoda;Copepoda;Calanoida;Acartiidae;Acartia;Acartia clausi;Aegean_Sea_760;Micro/Mesozooplankton
20;Monachus monachus;Monachus monachus;137081.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;Monachus monachus;Aegean_Sea_760;Monk seal
21;Nephrops norvegicus;Nephrops norvegicus;107254.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;Aegean_Sea_760;Norway lobster
22;Octopus vulgaris;Octopus vulgaris;140605.0;Species;accepted;Animalia;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;Octopus vulgaris;Aegean_Sea_760;Octopus and cuttlefish
23;Gadiformes;Gadiformes;10313.0;Order;accepted;Animalia;Chordata;Teleostei;Gadiformes;None;None;Nan;Aegean_Sea_760;Other gadiforms
24;Engraulis encrasicolus;Engraulis encrasicolus;126426.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Aegean_Sea_760;Other small pelagics
25;Thalassiosira rotula;Thalassiosira rotula;148942.0;Species;junior subjective synonym;Chromista;Heterokontophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira rotula;Aegean_Sea_760;Phytoplankton
26;Boops boops;Boops boops;127047.0;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Boops;Boops boops;Aegean_Sea_760;Picarels and bogue
27;Micromesistius poutassou;Micromesistius poutassou;126439.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Micromesistius;Micromesistius poutassou;Aegean_Sea_760;Piscivorous deep sea fish
28;Maurolicus muelleri;Maurolicus muelleri;127312.0;Species;accepted;Animalia;Chordata;Teleostei;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus muelleri;Aegean_Sea_760;Planktivorous deep sea fish
29;Polychaeta;Polychaeta;883.0;Class;accepted;Animalia;Annelida;Polychaeta;None;None;None;Nan;Aegean_Sea_760;Polychaetes
30;Raja clavata;Raja clavata;105883.0;Species;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Raja;Raja clavata;Aegean_Sea_760;Rays and skates
