;QueryName;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;OriginalName
0;Melanocetus johnsonii;Melanocetus johnsonii;126556.0;Species;accepted;Animalia;Chordata;Teleostei;Lophiiformes;Melanocetidae;Melanocetus;Melanocetus johnsonii;Aegean_Sea_760;Anglerfish
1;Benthic invertebrates;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Benthic invertebrates
2;Amphipoda;Amphipoda;1135.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Amphipoda;None;None;Nan;Aegean_Sea_760;Benthic small crustaceans
3;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Detritus
4;Delphinidae;Delphinidae;136980.0;Family;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;None;Nan;Aegean_Sea_760;Dolphins
5;Engraulis encrasicolus;Engraulis encrasicolus;126426.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Aegean_Sea_760;European anchovy
6;Merluccius merluccius;Merluccius merluccius;126484.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Aegean_Sea_760;European hake
7;Sardina pilchardus;Sardina pilchardus;126421.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;Aegean_Sea_760;European pilchard
8;Pleuronectiformes;Pleuronectiformes;10331.0;Order;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;None;None;Nan;Aegean_Sea_760;Flatfishes
9;Triglidae;Triglidae;125598.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Triglidae;None;Nan;Aegean_Sea_760;Gurnards
10;Trachurus;Trachurus;125946.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Nan;Aegean_Sea_760;Horse mackerels
11;Scyphozoa;Scyphozoa;135220.0;Class;accepted;Animalia;Cnidaria;Scyphozoa;None;None;None;Nan;Aegean_Sea_760;Jellyfish
12;Thunnus thynnus;Thunnus thynnus;127029.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Thunnus;Thunnus thynnus;Aegean_Sea_760;Large pelagics
13;Homarus gammarus;Homarus gammarus;107253.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Homarus;Homarus gammarus;Aegean_Sea_760;Lobsters
14;Scomber;Scomber;126063.0;Genus;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Nan;Aegean_Sea_760;Mackerels
15;Euphausiacea;Euphausiacea;1128.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Euphausiacea;None;None;Nan;Aegean_Sea_760;Macrozooplankton
16;Scomber scombrus;Scomber scombrus;127023.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Scomber scombrus;Aegean_Sea_760;Medium pelagics
17;Dentex;Dentex;126075.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Dentex;Nan;Aegean_Sea_760;Medium-large demersals 1
18;Merluccius;Merluccius;125762.0;Genus;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Nan;Aegean_Sea_760;Medium-large demersals 2
19;Copepoda;Copepoda;1080.0;Class;accepted;Animalia;Arthropoda;Copepoda;None;None;None;Nan;Aegean_Sea_760;Micro/Mesozooplankton
20;Monachus monachus;Monachus monachus;137081.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;Monachus monachus;Aegean_Sea_760;Monk seal
