;QueryName;Status;FileName;OriginalName;ScientificName;AphiaID;Rank;Kingdom;Phylum;Class;Order;Family;Genus;Species
0;NO_DATA;Not Found;Aegean_Sea_760;Anglerfish;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
1;Benthic Invertebrata;Not Found;Aegean_Sea_760;Benthic invertebrates;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
2;Crustacea;accepted;Aegean_Sea_760;Benthic small crustaceans;Crustacea;1066.0;Subphylum;Animalia;Arthropoda;None;None;None;None;Nan
3;NO_DATA;Not Found;Aegean_Sea_760;Detritus;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
4;Delphinidae;accepted;Aegean_Sea_760;Dolphins;Delphinidae;136980.0;Family;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;None;Nan
5;Engraulis encrasicolus;accepted;Aegean_Sea_760;European anchovy;Engraulis encrasicolus;126426.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus
6;NO_DATA;Not Found;Aegean_Sea_760;European hake;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
7;Sardina pilchardus;accepted;Aegean_Sea_760;European pilchard;Sardina pilchardus;126421.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus
8;NO_DATA;Not Found;Aegean_Sea_760;Flatfishes;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
9;Triglidae;accepted;Aegean_Sea_760;Gurnards;Triglidae;125598.0;Family;Animalia;Chordata;Teleostei;Perciformes;Triglidae;None;Nan
10;Trachurus trachurus;accepted;Aegean_Sea_760;Horse mackerels;Trachurus trachurus;126822.0;Species;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus trachurus
11;Medusozoa;accepted;Aegean_Sea_760;Jellyfish;Medusozoa;1740301.0;Subphylum;Animalia;Cnidaria;None;None;None;None;Nan
12;NO_DATA;Not Found;Aegean_Sea_760;Large pelagics;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
13;Nephropidae;accepted;Aegean_Sea_760;Lobsters;Nephropidae;106741.0;Family;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;None;Nan
14;Scomber scombrus;accepted;Aegean_Sea_760;Mackerels;Scomber scombrus;127023.0;Species;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Scomber scombrus
15;Macrozooplankton;Not Found;Aegean_Sea_760;Macrozooplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
16;NO_DATA;Not Found;Aegean_Sea_760;Medium pelagics;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
17;Pagellus erythrinus;accepted;Aegean_Sea_760;Medium-large demersals 1;Pagellus erythrinus;127060.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagellus;Pagellus erythrinus
18;Merluccius merluccius;accepted;Aegean_Sea_760;Medium-large demersals 2;Merluccius merluccius;126484.0;Species;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius
19;Zooplankton;Not Found;Aegean_Sea_760;Micro/Mesozooplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
20;Monachus monachus;accepted;Aegean_Sea_760;Monk seal;Monachus monachus;137081.0;Species;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;Monachus monachus
21;Nephrops norvegicus;accepted;Aegean_Sea_760;Norway lobster;Nephrops norvegicus;107254.0;Species;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus
22;Octopodidae, Sepiidae;Not Found;Aegean_Sea_760;Octopus and cuttlefish;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
23;Gadiformes;accepted;Aegean_Sea_760;Other gadiforms;Gadiformes;10313.0;Order;Animalia;Chordata;Teleostei;Gadiformes;None;None;Nan
24;Engraulis encrasicolus;accepted;Aegean_Sea_760;Other small pelagics;Engraulis encrasicolus;126426.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus
25;Phytoplankton;Not Found;Aegean_Sea_760;Phytoplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
26;Spicara smaris;accepted;Aegean_Sea_760;Picarels and bogue;Spicara smaris;126830.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Spicara;Spicara smaris
27;Actinopterygii;accepted;Aegean_Sea_760;Piscivorous deep sea fish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
28;Cyclothone braueri;accepted;Aegean_Sea_760;Planktivorous deep sea fish;Cyclothone braueri;127284.0;Species;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Cyclothone;Cyclothone braueri
29;Polychaeta;accepted;Aegean_Sea_760;Polychaetes;Polychaeta;883.0;Class;Animalia;Annelida;Polychaeta;None;None;None;Nan
30;Batoidea;accepted;Aegean_Sea_760;Rays and skates;Batoidea;368409.0;Infraclass;Animalia;Chordata;Elasmobranchii;None;None;None;Nan
31;Mullus barbatus;accepted;Aegean_Sea_760;Red mullets;Mullus barbatus;126985.0;Species;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;Mullus barbatus
32;Scorpaenidae;accepted;Aegean_Sea_760;Rockfish;Scorpaenidae;125595.0;Family;Animalia;Chordata;Teleostei;Perciformes;Scorpaenidae;None;Nan
33;Chelonioidea;accepted;Aegean_Sea_760;Sea turtles;Chelonioidea;987094.0;Superfamily;Animalia;Chordata;None;Testudines;None;None;Nan
34;Aves;accepted;Aegean_Sea_760;Seabirds;Aves;1836.0;Class;Animalia;Chordata;Aves;None;None;None;Nan
35;Selachimorpha;superseded rank;Aegean_Sea_760;Sharks;Selachimorpha;1779682.0;Superorder;Animalia;Chordata;Elasmobranchii;None;None;None;Nan
36;Brachyura;accepted;Aegean_Sea_760;Shelf crabs;Brachyura;106673.0;Infraorder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
37;Caridea;accepted;Aegean_Sea_760;Shrimps;Caridea;106674.0;Infraorder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
