Unnamed: 0;file_name;node;IsAlive_chatgpt;Taxonomic Level_chatgpt;class_chatgpt_separate_session;family_chatgpt_separate_session;genus_chatgpt_separate_session;kingdom_chatgpt_separate_session;order_chatgpt_separate_session;phylum_chatgpt_separate_session;species_chatgpt_separate_session;IsAlive_x;kingdom_chatgpt;phylum_chatgpt;class_chatgpt;order_chatgpt;family_chatgpt;genus_chatgpt;species_chatgpt;kingdom_baseline;phylum_baseline;class_baseline;order_baseline;family_baseline;genus_baseline;species_baseline;IsAlive_y
0.0;aegean_sea_760;anglerfish;True;Family;Actinopterygii;Lophiidae;;Animalia;Lophiiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Lophiiformes;Lophiidae;Lophius;Lophius piscatorius;Animalia;Chordata;Teleostei;Lophiiformes;Lophiidae;Lophius;;True
1.0;aegean_sea_760;benthic invertebrates;True;Phylum;;;;Animalia;;Annelida;;True;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Nephtys;Nephtys cirrosa;Animalia;;;;;;;True
2.0;aegean_sea_760;benthic small crustaceans;True;Order;Malacostraca;;;Animalia;Amphipoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;Gammarus aequicauda;Animalia;Arthropoda;;;;;;True
4.0;aegean_sea_760;dolphins;True;Family;Mammalia;Delphinidae;;Animalia;Cetacea;Chordata;;True;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Tursiops;Tursiops truncatus;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;True
5.0;aegean_sea_760;european anchovy;True;Species;Actinopterygii;Engraulidae;Engraulis;Animalia;Clupeiformes;Chordata;Engraulis encrasicolus;True;Animalia;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;True
6.0;aegean_sea_760;european hake;True;Species;Actinopterygii;Merlucciidae;Merluccius;Animalia;Gadiformes;Chordata;Merluccius merluccius;True;Animalia;Chordata;Actinopterygii;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;True
7.0;aegean_sea_760;european pilchard;True;Species;Actinopterygii;Clupeidae;Sardina;Animalia;Clupeiformes;Chordata;pilchardus;True;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Sardina;pilchardus;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;True
8.0;aegean_sea_760;flatfishes;True;Order;Actinopterygii;;;Animalia;Pleuronectiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Solea;Solea solea;Animalia;Chordata;Teleostei;Carangiformes;;;;True
9.0;aegean_sea_760;gurnards;True;Family;Actinopterygii;Triglidae;;Animalia;Scorpaeniformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Chelidonichthys;Chelidonichthys lucerna;Animalia;Chordata;Teleostei;Perciformes;Triglidae;;;True
10.0;aegean_sea_760;horse mackerels;True;Genus;Actinopterygii;Carangidae;Trachurus;Animalia;Carangiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Carangiformes;Carangidae;Trachurus;mediterraneus;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;;True
