,file_name,node,IsAlive_chatgpt,Taxonomic Level_chatgpt,class_chatgpt,family_chatgpt,genus_chatgpt,kingdom_chatgpt,order_chatgpt,phylum_chatgpt,species_chatgpt
0,Aegean_Sea_760,Anglerfish,True,Family,Actinopterygii,Lophiidae,,Animalia,Lophiiformes,Chordata,
1,Aegean_Sea_760,Benthic invertebrates,True,Phylum,,,,Animalia,,Annelida,
2,Aegean_Sea_760,Benthic small crustaceans,True,Order,Malacostraca,,,Animalia,Amphipoda,Arthropoda,
3,Aegean_Sea_760,Detritus,False,Kingdom,,,,,,,
4,Aegean_Sea_760,Dolphins,True,Family,Mammalia,Delphinidae,,Animalia,Cetacea,Chordata,
5,Aegean_Sea_760,European anchovy,True,Species,Actinopterygii,Engraulidae,Engraulis,Animalia,Clupeiformes,Chordata,Engraulis encrasicolus
6,Aegean_Sea_760,European hake,True,Species,Actinopterygii,Merlucciidae,Merluccius,Animalia,Gadiformes,Chordata,Merluccius merluccius
7,Aegean_Sea_760,European pilchard,True,Species,Actinopterygii,Clupeidae,Sardina,Animalia,Clupeiformes,Chordata,pilchardus
8,Aegean_Sea_760,Flatfishes,True,Order,Actinopterygii,,,Animalia,Pleuronectiformes,Chordata,
9,Aegean_Sea_760,Gurnards,True,Family,Actinopterygii,Triglidae,,Animalia,Scorpaeniformes,Chordata,
10,Aegean_Sea_760,Horse mackerels,True,Genus,Actinopterygii,Carangidae,Trachurus,Animalia,Carangiformes,Chordata,
11,Aegean_Sea_760,Jellyfish,True,Class,Scyphozoa,,,Animalia,,Cnidaria,
12,Aegean_Sea_760,Large pelagics,True,Class,Actinopterygii,,,Animalia,,Chordata,
13,Aegean_Sea_760,Lobsters,True,Family,Malacostraca,Palinuridae,,Animalia,Decapoda,Arthropoda,
14,Aegean_Sea_760,Mackerels,True,Family,Actinopterygii,Scombridae,,Animalia,Scombriformes,Chordata,
15,Aegean_Sea_760,Macrozooplankton,True,Class,Malacostraca,,,Animalia,,Arthropoda,
16,Aegean_Sea_760,Medium pelagics,True,Class,Actinopterygii,,,Animalia,,Chordata,
17,Aegean_Sea_760,Medium-large demersals 1,True,Family,Actinopterygii,Merlucciidae,,Animalia,Gadiformes,Chordata,
18,Aegean_Sea_760,Medium-large demersals 2,True,Family,Actinopterygii,Sparidae,,Animalia,Perciformes,Chordata,
19,Aegean_Sea_760,Micro/Mesozooplankton,True,Class,Maxillopoda,,,Animalia,,Arthropoda,
20,Aegean_Sea_760,Monk seal,True,Species,Mammalia,Phocidae,Monachus,Animalia,Carnivora,Chordata,Monachus monachus
21,Aegean_Sea_760,Norway lobster,True,Species,Malacostraca,Nephropidae,Nephrops,Animalia,Decapoda,Arthropoda,Nephrops norvegicus
22,Aegean_Sea_760,Octopus and cuttlefish,True,Class,Cephalopoda,,,Animalia,,Mollusca,
23,Aegean_Sea_760,Other gadiforms,True,Order,Actinopterygii,,,Animalia,Gadiformes,Chordata,
24,Aegean_Sea_760,Other small pelagics,True,Family,Actinopterygii,Engraulidae,,Animalia,Clupeiformes,Chordata,
25,Aegean_Sea_760,Phytoplankton,True,Kingdom,,,,Chromista,,,
26,Aegean_Sea_760,Picarels and bogue,True,Family,Actinopterygii,Sparidae,,Animalia,Perciformes,Chordata,
27,Aegean_Sea_760,Piscivorous deep sea fish,True,Class,Actinopterygii,,,Animalia,,Chordata,
28,Aegean_Sea_760,Planktivorous deep sea fish,True,Family,Actinopterygii,Sternoptychidae,,Animalia,Stomiiformes,Chordata,
29,Aegean_Sea_760,Polychaetes,True,Class,Polychaeta,,,Animalia,,Annelida,
30,Aegean_Sea_760,Rays and skates,True,Order,Chondrichthyes,,,Animalia,Rajiformes,Chordata,
31,Aegean_Sea_760,Red mullets,True,Genus,Actinopterygii,Mullidae,Mullus,Animalia,Perciformes,Chordata,
32,Aegean_Sea_760,Rockfish,True,Family,Actinopterygii,Scorpaenidae,,Animalia,Scorpaeniformes,Chordata,
33,Aegean_Sea_760,Sea turtles,True,Order,Reptilia,,,Animalia,Testudines,Chordata,
34,Aegean_Sea_760,Seabirds,True,Class,Aves,,,Animalia,,Chordata,
35,Aegean_Sea_760,Sharks,True,Class,Chondrichthyes,,,Animalia,,Chordata,
36,Aegean_Sea_760,Shelf crabs,True,Family,Malacostraca,Portunidae,,Animalia,Decapoda,Arthropoda,
37,Aegean_Sea_760,Shrimps,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
38,Aegean_Sea_760,Slope crabs,True,Family,Malacostraca,Geryonidae,,Animalia,Decapoda,Arthropoda,
39,Aegean_Sea_760,Small demersals 1,True,Order,Actinopterygii,,,Animalia,Gobiiformes,Chordata,
40,Aegean_Sea_760,Small demersals 2,True,Family,Actinopterygii,Mullidae,,Animalia,Perciformes,Chordata,
41,Aegean_Sea_760,Small demersals 3,True,Family,Actinopterygii,Gobiidae,,Animalia,Gobiiformes,Chordata,
42,Aegean_Sea_760,Squids,True,Order,Cephalopoda,,,Animalia,Teuthida,Mollusca,
43,Aleutian_Islands_252,Adult pollock,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus chalcogrammus
44,Aleutian_Islands_252,Arrowtooth,True,Species,Actinopterygii,Pleuronectidae,Atheresthes,Animalia,Pleuronectiformes,Chordata,Atheresthes stomias
45,Aleutian_Islands_252,Atka mackerel,True,Species,Actinopterygii,Hexagrammidae,Pleurogrammus,Animalia,Perciformes,Chordata,Pleurogrammus monopterygius
46,Aleutian_Islands_252,Baleen whales,True,Order,Mammalia,,,Animalia,Cetacea,Chordata,
47,Aleutian_Islands_252,Benthic inverts,True,Phylum,,,,Animalia,,,
48,Aleutian_Islands_252,Birds,True,Class,Aves,,,Animalia,,Chordata,
49,Aleutian_Islands_252,Cephalopods,True,Class,Cephalopoda,,,Animalia,,Mollusca,
50,Aleutian_Islands_252,Deep L,True,Genus,Actinopterygii,Sebastidae,Sebastes,Animalia,Scorpaeniformes,Chordata,
51,Aleutian_Islands_252,Dem S M,True,Class,Actinopterygii,,,Animalia,,Chordata,
52,Aleutian_Islands_252,Detritus,False,Kingdom,,,,,,,
53,Aleutian_Islands_252,Epiben carnivores,True,Class,,,,Animalia,,,
54,Aleutian_Islands_252,Flatfish,True,Order,Actinopterygii,,,Animalia,Pleuronectiformes,Chordata,
55,Aleutian_Islands_252,Halibut,True,Species,Actinopterygii,Pleuronectidae,Hippoglossus,Animalia,Pleuronectiformes,Chordata,Hippoglossus stenolepis
56,Aleutian_Islands_252,Herring,True,Species,Actinopterygii,Clupeidae,Clupea,Animalia,Clupeiformes,Chordata,Clupea pallasii
57,Aleutian_Islands_252,Juvenile pollock,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus chalcogrammus
58,Aleutian_Islands_252,Large pelagics,True,Class,Chondrichthyes,,,Animalia,,Chordata,
59,Aleutian_Islands_252,Large pred demersals,True,Class,Actinopterygii,,,Animalia,,Chordata,
60,Aleutian_Islands_252,Large zooplankton,True,Phylum,,,,Animalia,,Arthropoda,
61,Aleutian_Islands_252,Macrophytes,True,Phylum,,,,Chromista,,Ochrophyta,
62,Aleutian_Islands_252,Myctophids,True,Family,Actinopterygii,Myctophidae,,Animalia,Myctophiformes,Chordata,
63,Aleutian_Islands_252,POP,True,Species,Actinopterygii,Sebastidae,Sebastes,Animalia,Scorpaeniformes,Chordata,Sebastes alutus
64,Aleutian_Islands_252,Pacific cod,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus macrocephalus
65,Aleutian_Islands_252,Phytoplankton,True,Phylum,,,,Chromista,,Bacillariophyta,
66,Aleutian_Islands_252,Rockfish,True,Genus,Actinopterygii,Sebastidae,Sebastes,Animalia,Scorpaeniformes,Chordata,
67,Aleutian_Islands_252,SSL Adults,True,Species,Mammalia,Otariidae,Eumetopias,Animalia,Carnivora,Chordata,Eumetopias jubatus
68,Aleutian_Islands_252,SSL embryo,True,Species,Mammalia,Otariidae,Eumetopias,Animalia,Carnivora,Chordata,Eumetopias jubatus
69,Aleutian_Islands_252,SSL juveniles,True,Species,Mammalia,Otariidae,Eumetopias,Animalia,Carnivora,Chordata,Eumetopias jubatus
70,Aleutian_Islands_252,SSL pups,True,Species,Mammalia,Otariidae,Eumetopias,Animalia,Carnivora,Chordata,Eumetopias jubatus
71,Aleutian_Islands_252,Sablefish,True,Species,Actinopterygii,Anoplopomatidae,Anoplopoma,Animalia,Scorpaeniformes,Chordata,Anoplopoma fimbria
72,Aleutian_Islands_252,Salmon,True,Genus,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,
73,Aleutian_Islands_252,Sandlance,True,Species,Actinopterygii,Ammodytidae,Ammodytes,Animalia,Perciformes,Chordata,Ammodytes hexapterus
74,Aleutian_Islands_252,Sea otters,True,Species,Mammalia,Mustelidae,Enhydra,Animalia,Carnivora,Chordata,Enhydra lutris
75,Aleutian_Islands_252,Shark and skates,True,Class,Chondrichthyes,,,Animalia,,Chordata,
76,Aleutian_Islands_252,Shark mammal eater,True,Family,Chondrichthyes,Lamnidae,,Animalia,Lamniformes,Chordata,
77,Aleutian_Islands_252,Shrimps,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
78,Aleutian_Islands_252,Small mammals,True,Class,Mammalia,,,Animalia,,Chordata,
79,Aleutian_Islands_252,Small pelagics,True,Class,Actinopterygii,,,Animalia,,Chordata,
80,Aleutian_Islands_252,Small zooplankton,True,Phylum,,,,Animalia,,Arthropoda,
81,Aleutian_Islands_252,Toothed whales,True,Order,Mammalia,,,Animalia,Cetacea,Chordata,
