QueryInput;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;Node name;IsAlive
Lophius;Lophius;125802;Genus;accepted;Animalia;Chordata;Teleostei;Lophiiformes;Lophiidae;Lophius;;Aegean_Sea_760.scor;Anglerfish;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Benthic invertebrates;True
1065;Arthropoda;1065;Phylum;accepted;Animalia;Arthropoda;;;;;;Aegean_Sea_760.scor;Benthic small crustaceans;True
2688;Cetacea;2688;Infraorder;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;Aegean_Sea_760.scor;Dolphins;True
126426;Engraulis encrasicolus;126426;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Aegean_Sea_760.scor;European anchovy;True
126484;Merluccius merluccius;126484;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Aegean_Sea_760.scor;European hake;True
126421;Sardina pilchardus;126421;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;Aegean_Sea_760.scor;European pilchard;True
1517532;Carangiformes;1517532;Order;accepted;Animalia;Chordata;Teleostei;Carangiformes;;;;Aegean_Sea_760.scor;Flatfishes;True
125598;Triglidae;125598;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Triglidae;;;Aegean_Sea_760.scor;Gurnards;True
Trachurus;Trachurus;125946;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;;Aegean_Sea_760.scor;Horse mackerels;True
1267;Cnidaria;1267;Phylum;accepted;Animalia;Cnidaria;;;;;;Aegean_Sea_760.scor;Jellyfish;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Large pelagics;True
106741;Nephropidae;106741;Family;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;;;Aegean_Sea_760.scor;Lobsters;True
Scomber;Scomber;126063;Genus;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;;Aegean_Sea_760.scor;Mackerels;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Macrozooplankton;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Medium pelagics;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Medium-large demersals 1;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Medium-large demersals 2;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Micro/Mesozooplankton;True
136976;Phocidae;136976;Family;accepted;Animalia;Chordata;Mammalia;Carnivora;Phocidae;;;Aegean_Sea_760.scor;Monk seal;True
Nephrops norvegicus;Nephrops norvegicus;107254;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;Aegean_Sea_760.scor;Norway lobster;True
11707;Cephalopoda;11707;Class;accepted;Animalia;Mollusca;Cephalopoda;;;;;Aegean_Sea_760.scor;Octopus and cuttlefish;True
10313;Gadiformes;10313;Order;accepted;Animalia;Chordata;Teleostei;Gadiformes;;;;Aegean_Sea_760.scor;Other gadiforms;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Other small pelagics;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Aegean_Sea_760.scor;Picarels and bogue;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Aegean_Sea_760.scor;Piscivorous deep sea fish;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Aegean_Sea_760.scor;Planktivorous deep sea fish;True
883;Polychaeta;883;Class;accepted;Animalia;Annelida;Polychaeta;;;;;Aegean_Sea_760.scor;Polychaetes;True
10193;Elasmobranchii;10193;Class;accepted;Animalia;Chordata;Elasmobranchii;;;;;Aegean_Sea_760.scor;Rays and skates;True
Mullus;Mullus;126034;Genus;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;;Aegean_Sea_760.scor;Red mullets;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Aegean_Sea_760.scor;Rockfish;True
2689;Testudines;2689;Order;accepted;Animalia;Chordata;;Testudines;;;;Aegean_Sea_760.scor;Sea turtles;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;Aegean_Sea_760.scor;Seabirds;True
368408;Selachii;368408;Infraclass;accepted;Animalia;Chordata;Elasmobranchii;;;;;Aegean_Sea_760.scor;Sharks;True
1130;Decapoda;1130;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Aegean_Sea_760.scor;Shelf crabs;True
106674;Caridea;106674;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Aegean_Sea_760.scor;Shrimps;True
1130;Decapoda;1130;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Aegean_Sea_760.scor;Slope crabs;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Small demersals 1;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Small demersals 2;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aegean_Sea_760.scor;Small demersals 3;True
325342;Decapodiformes;325342;Superorder;accepted;Animalia;Mollusca;Cephalopoda;;;;;Aegean_Sea_760.scor;Squids;True
300735;Gadus chalcogrammus;300735;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252.scor;Adult pollock;True
Atheresthes stomias;Atheresthes stomias;279792;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;Aleutian_Islands_252.scor;Arrowtooth;True
Pleurogrammus monopterygius;Pleurogrammus monopterygius;282289;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius;Aleutian_Islands_252.scor;Atka mackerel;True
148724;Mysticeti;148724;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;Aleutian_Islands_252.scor;Baleen whales;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Benthic inverts;True
